Experience,Do not use,Sporadically,Often
No experience,0.00,8.82,2.94
Less than 1 year,2.94,2.94,0.00
1-3 years,2.94,5.88,11.76
4-5 years,0.00,2.94,2.94
More than 5 years,8.82,35.29,11.76
