Experience,Do not create,Sporadically,Often
No experience,0.00,8.82,2.94
Less than 1 year,0.00,5.88,0.00
1-3 years,0.00,20.59,0.00
4-5 years,0.00,5.88,0.00
More than 5 years,5.88,38.24,11.76
